0.14872,0.26637,-0.34533,-0.42036,-0.46929,0.32276,-2.7594e-05,-0.050538
-0.036569,-0.3205,0.4404,-0.10982,-0.47718,0.32819,-2.8188e-05,-0.051626
-0.68256,-0.56739,-0.42055,-0.16997,-0.0020315,0.0013972,-4.1278e-08,-7.5375e-05
-0.1083,0.06067,-0.098553,0.5313,-0.47192,0.33104,0.00012418,-0.051548
-1.1133e-05,-9.7569e-06,-0.0001572,-0.00037936,0.072916,-0.050593,-0.00053797,-0.99605
-0.1486,0.2667,-0.34503,0.42043,0.32571,0.4673,0.049625,-2.5742e-05
0.036472,-0.32035,0.44039,0.10982,0.33121,0.47519,0.050695,-2.6297e-05
0.68102,-0.56863,-0.42126,0.17035,0.0013947,0.0020011,7.3339e-05,-3.7927e-08
0.10828,0.060193,-0.09889,-0.53125,0.32525,0.47608,0.050619,-0.00018285
1.0685e-05,-9.4042e-06,-0.00015235,0.00036797,-0.049535,-0.071702,0.9962,-0.00052241
