0.18632,0.38066,0.41507,0.79051,0.32892,0.067469,0.25858,0.48208,0.067412,0.44321,0.55747,0.9006,0.87941,0.81236,0.27234,0.42306,0.78323,0.54792,0.57733,0.63246,0.074818,0.04152,0.55993,0.44511,0.21062
0.67659,0.83894,0.41407,0.10692,0.54818,0.30256,0.050662,0.56636,0.50931,0.017446,0.54833,0.52996,0.32308,0.68277,0.85445,0.49641,0.7146,0.66006,0.62246,0.55159,0.5704,0.90912,0.51727,0.23199,0.43105
0.3573,0.04869,0.37303,0.76048,0.76166,0.494,0.91398,0.56984,0.55288,0.091545,0.0097311,0.81921,0.77201,0.99416,0.066246,0.72451,0.66657,0.44136,0.2394,0.25278,0.83091,0.55382,0.29223,0.5839,0.43279
0.18018,0.1798,0.24261,0.97274,0.15148,0.66842,0.7087,0.80129,0.3129,0.68016,0.45227,0.7507,0.35199,0.22054,0.63425,0.9219,0.36715,0.48915,0.13017,0.39692,0.29629,0.84235,0.92161,0.014234,0.87123
0.41346,0.70321,0.50762,0.092125,0.91553,0.99631,0.68363,0.81724,0.36236,0.9426,0.33611,0.88818,0.3118,0.91907,0.87876,0.69134,0.17929,0.9523,0.25351,0.1744,0.64406,0.3135,0.40301,0.40855,0.747
0.80096,0.29785,0.97806,0.37569,0.7363,0.63541,0.76026,0.50606,0.74924,0.46385,0.34743,0.81342,0.80926,0.89507,0.11676,0.7963,0.44269,0.19777,0.23231,0.76255,0.13784,0.52003,0.90937,0.38337,0.39664
0.25128,0.42325,0.45789,0.5158,0.90863,0.77109,0.030832,0.5031,0.80169,0.95874,0.43625,0.22276,0.52489,0.89094,0.92157,0.83725,0.8136,0.83714,0.25018,0.79304,0.84453,0.19535,0.48359,0.14365,0.16646
0.66499,0.53377,0.97631,0.0039578,0.60888,0.25855,0.62013,0.70612,0.6007,0.49868,0.38562,0.15171,0.36362,0.28268,0.60486,0.04705,0.15075,0.29899,0.20507,0.47836,0.82414,0.013121,0.40913,0.73985,0.54183
0.17696,0.77163,0.043576,0.94738,0.62559,0.19888,0.51674,0.53643,0.29602,0.78357,0.62755,0.76314,0.6391,0.31277,0.045065,0.85647,0.020693,0.64307,0.78909,0.085622,0.75267,0.94655,0.69906,0.32479,0.020255
0.43209,0.23802,0.55215,0.45152,0.35769,0.23863,0.57099,0.9066,0.67737,0.66822,0.70689,0.96761,0.19402,0.51613,0.034714,0.40304,0.80864,0.48065,0.465,0.61817,0.91681,0.53397,0.84015,0.38294,0.12034
0.09582,0.62561,0.87538,0.98314,0.88555,0.51919,0.57993,0.94907,0.40021,0.375,0.23985,0.9052,0.73177,0.92591,0.12689,0.56316,0.35262,0.061264,0.079811,0.97154,0.4514,0.10044,0.19082,0.98905,0.63411
