0.65316,0.38152,0.71632,0.39632,0.408
0.17754,0.62468,0.71658,0.28592,0.5144
0.98479,0.78455,0.37915,0.64905,0.90879
0.0027325,0.59463,0.15427,0.26023,0.11694
0.19577,0.65158,0.1575,0.98604,0.18004
0.46825,0.58943,0.46256,0.67291,0.46911
0.55689,0.15915,0.035016,0.66725,0.31214
0.2541,0.042133,0.72649,0.78936,0.93196
0.99496,0.13702,0.75187,0.069405,0.87776
0.44664,0.28267,0.45059,0.24325,0.98941
0.055288,0.75692,0.28686,0.50987,0.19438
0.69643,0.41502,0.14233,0.86573,0.81941
0.23766,0.14565,0.4937,0.99739,0.61421
0.29969,0.73402,0.36511,0.60983,0.23523
0.25605,0.6695,0.78088,0.02318,0.79211
0.087146,0.63547,0.13942,0.90563,0.43343
0.56742,0.54285,0.74641,0.78738,0.12968
0.26614,0.25207,0.6206,0.50855,0.57025
0.032025,0.0739,0.90776,0.75462,0.12784
0.64009,0.38718,0.71788,0.61101,0.21793
0.6009,0.95467,0.11755,0.42215,0.46776
0.19107,0.024173,0.87068,0.24658,0.48974
0.68791,0.59134,0.065958,0.20631,0.19345
0.31048,0.88438,0.0013468,0.32351,0.12013
0.4265,0.5819,0.30667,0.35683,0.67558
